no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
155868;mic 0600451;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;01/07/2023;884000;2;1768000;50%;884000
155869;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/07/2023;283000;5;1415000;50%;707500
155870;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;01/07/2023;93500;5;467500;40%;280500
155870;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;01/07/2023;93500;7;654500;40%;392700
155871;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;02/07/2023;50000;1;50000;40%;30000
155872;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;04/07/2023;536500;1;536500;PROMO;175000
155873;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;05/07/2023;50000;1;50000;40%;30000
155874;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;05/07/2023;93500;2;187000;40%;112200
155874;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;05/07/2023;40000;4;160000;40%;96000
155875;mic 0500012;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);06/07/2023;541000;1;541000;60%;216400
155876;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);06/07/2023;283000;1;283000;50%;141500
155877;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);06/07/2023;342000;1;342000;60%;136800
155878;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;08/07/2023;135500;1;135500;50%;67750
155878;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;08/07/2023;111000;1;111000;50%;55500
155879;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/07/2023;66000;2;132000;50%;66000
155880;mic 2006020;grendel jendela K;grendel jendela;grendel kodok khusus jendela;08/07/2023;148500;1;148500;40%;89100
155881;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;08/07/2023;135500;1;135500;50%;67750
155881;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;08/07/2023;111000;1;111000;50%;55500
155881;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;08/07/2023;86500;1;86500;40%;51900
155882;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;09/07/2023;592000;1;592000;PROMO;190000
155883;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;09/07/2023;135500;1;135500;50%;67750
155883;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;09/07/2023;201500;1;201500;PROMO;81000
155884;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;09/07/2023;56500;1;56500;40%;33900
155885;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);09/07/2023;283000;1;283000;50%;141500
155886;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;10/07/2023;592000;1;592000;PROMO;190000
155887;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;12/07/2023;296500;1;296500;50%;148250
155887;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;12/07/2023;111000;1;111000;50%;55500
155888;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;12/07/2023;56500;1;56500;40%;33900
155888;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;12/07/2023;54500;1;54500;40%;32700
155889;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);12/07/2023;342000;2;684000;60%;273600
155890;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;13/07/2023;536500;1;536500;PROMO;175000
155891;mic 0500021;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);13/07/2023;522500;1;522500;60%;209000
155892;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;13/07/2023;74000;1;74000;40%;44400
155892;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;13/07/2023;139000;2;278000;40%;166800
155892;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/07/2023;66000;3;198000;50%;99000
155893;mic 0600513;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;13/07/2023;471000;2;942000;50%;471000
155894;mic 0506109;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/07/2023;376500;1;376500;60%;150600
155895;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;14/07/2023;66000;1;66000;50%;33000
155896;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;15/07/2023;296500;2;593000;50%;296500
155896;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;15/07/2023;201500;2;403000;PROMO;162000
155897;mic 1900250;gembok;gembok;gembok;16/07/2023;99500;1;99500;40%;59700
155897;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;16/07/2023;25000;1;25000;40%;15000
155898;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;16/07/2023;296500;1;296500;50%;148250
155899;mic 0500028;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);17/07/2023;483000;1;483000;PROMO;145000
155810;mic 1100005;door  closer;door  closer;door  closer/otomatis pintu;17/07/2023;455500;2;911000;50%;455500
192901;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;17/07/2023;40000;2;80000;40%;48000
192902;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;18/07/2023;40000;2;80000;40%;48000
192903;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;20/07/2023;139000;1;139000;40%;83400
192903;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;20/07/2023;73000;1;73000;50%;36500
192904;mic 0600510;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;20/07/2023;471000;4;1884000;50%;942000
192905;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;20/07/2023;25000;1;25000;30%;17500
192905;mic 1900250;gembok;gembok;gembok;20/07/2023;99500;1;99500;50%;49750
192906;mic 0500028;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);20/07/2023;483000;1;483000;PROMO;145000
192907;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;20/07/2023;201500;1;201500;PROMO;81000
192908;mic 0400800;gagang pintu C;gagang pintu;gagang pintu;22/07/2023;632000;1;632000;PROMO;205000
192909;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);23/07/2023;283000;1;283000;50%;141500
192910;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);23/07/2023;483000;2;966000;PROMO;290000
192910;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);23/07/2023;342000;1;342000;60%;136800
192911;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;23/07/2023;66000;7;462000;50%;231000
192911;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;23/07/2023;73000;6;438000;50%;219000
192912;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;23/07/2023;25000;1;25000;40%;15000
192914;mic 1900250;gembok;gembok;gembok;24/07/2023;99500;1;99500;50%;49750
192915;mic 0101033;lockcase 2;lockcase;lockcase/body kunci;24/07/2023;533000;1;533000;50%;266500
192915;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;24/07/2023;296500;1;296500;50%;148250
192915;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;24/07/2023;86500;1;86500;40%;51900
192915;mic 0600504;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;24/07/2023;615000;1;615000;50%;307500
192915;mic 0600508;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;24/07/2023;471000;1;471000;50%;235500
192916;mic 2012024;grendel pintu AC;grendel pintu;grendel pintu kembar;24/07/2023;132000;2;264000;40%;158400
192916;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;24/07/2023;56500;1;56500;40%;33900
192917;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;25/07/2023;40000;2;80000;40%;48000
192918;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;26/07/2023;111000;1;111000;50%;55500
192919;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;27/07/2023;25000;2;50000;40%;30000
192920;mic 0400900;gagang pintu C;gagang pintu;gagang pintu;27/07/2023;536500;1;536500;PROMO;175000
192921;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);27/07/2023;342000;3;1026000;60%;410400
192921;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;27/07/2023;74000;2;148000;40%;88800
192921;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;27/07/2023;159000;3;477000;50%;238500
192922;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;27/07/2023;90500;1;90500;40%;54300
192923;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);27/07/2023;483000;1;483000;PROMO;145000
192925;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;27/07/2023;222000;1;222000;50%;111000
192926;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;28/07/2023;111000;1;111000;50%;55500
192927;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;29/07/2023;25000;1;25000;40%;15000
192928;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);29/07/2023;283000;1;283000;50%;141500
192929;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;29/07/2023;40000;2;80000;40%;48000
192930;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);30/07/2023;483000;2;966000;PROMO;290000
192931;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);30/07/2023;283000;1;283000;50%;141500
192932;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;01/08/2023;222000;2;444000;50%;222000
192932;mic 0104003;anak kunci;anak kunci;anak kunci/cylinder;01/08/2023;232000;2;464000;40%;278400
192933;mic 0500028;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);01/08/2023;483000;1;483000;PROMO;145000
192933;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/08/2023;342000;1;342000;60%;136800
192934;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/08/2023;283000;1;283000;50%;141500
192934;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;01/08/2023;25000;1;25000;40%;15000
192935;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/08/2023;66000;1;66000;50%;33000
192935;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);02/08/2023;342000;1;342000;60%;136800
192936;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;03/08/2023;592000;2;1184000;PROMO;380000
192937;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/08/2023;94500;1;94500;50%;47250
192937;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;03/08/2023;40000;1;40000;40%;24000
192938;mic 0601395;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;03/08/2023;493000;1;493000;60%;197200
192939;mic 0400875;gagang pintu C;gagang pintu;gagang pintu;03/08/2023;666000;4;2664000;PROMO;916000
192940;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/08/2023;94500;3;283500;50%;141750
192940;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;03/08/2023;40000;3;120000;40%;72000
192941;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;03/08/2023;25000;2;50000;40%;30000
192941;mic 1900101;gembok;gembok;gembok;03/08/2023;509500;2;1019000;40%;611400
192941;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/08/2023;94500;4;378000;40%;226800
192941;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;03/08/2023;74000;3;222000;40%;133200
192942;mic 1900101;gembok;gembok;gembok;05/08/2023;509500;1;509500;40%;305700
192942;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;05/08/2023;25000;1;25000;40%;15000
192943;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;07/08/2023;222000;1;222000;40%;133200
192943;mic 0104003;anak kunci;anak kunci;anak kunci/cylinder;07/08/2023;232000;1;232000;40%;139200
192943;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;07/08/2023;74000;1;74000;40%;44400
192943;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;07/08/2023;94500;2;189000;40%;113400
192943;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;07/08/2023;93500;1;93500;40%;56100
192944;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;07/08/2023;73000;10;730000;50%;365000
192944;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;07/08/2023;66000;3;198000;50%;99000
192944;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);07/08/2023;283000;2;566000;50%;283000
192945;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;07/08/2023;201500;2;403000;PROMO;162000
192946;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);07/08/2023;283000;2;566000;50%;283000
192947;mic 0601349;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;08/08/2023;471000;1;471000;50%;235500
192947;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;08/08/2023;222000;1;222000;50%;111000
192947;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;08/08/2023;111000;1;111000;50%;55500
192947;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/08/2023;66000;3;198000;50%;99000
192948;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;08/08/2023;604000;1;604000;PROMO;229000
192948;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);08/08/2023;342000;1;342000;60%;136800
192948;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/08/2023;159000;3;477000;50%;238500
192948;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/08/2023;73000;11;803000;50%;401500
192949;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/08/2023;73000;1;73000;40%;43800
192949;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);09/08/2023;283000;1;283000;50%;141500
192950;mic 0509115;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);10/08/2023;515500;1;515500;60%;206200
192951;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;10/08/2023;139000;1;139000;40%;83400
192951;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;10/08/2023;202000;1;202000;50%;101000
199652;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;11/08/2023;296500;1;296500;50%;148250
199653;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;11/08/2023;111000;1;111000;50%;55500
199654;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);11/08/2023;342000;4;1368000;60%;547200
199655;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;12/08/2023;54500;1;54500;40%;32700
199656;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/08/2023;283000;2;566000;50%;283000
199656;mic 0601395;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;13/08/2023;493000;2;986000;60%;394400
199656;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/08/2023;73000;2;146000;50%;73000
199656;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;13/08/2023;40000;2;80000;50%;40000
199657;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;13/08/2023;111000;2;222000;50%;111000
199658;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);13/08/2023;483000;2;966000;PROMO;290000
199659;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);14/08/2023;483000;1;483000;PROMO;145000
199660;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;14/08/2023;40000;1;40000;40%;24000
199661;mic 1500052;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;14/08/2023;140000;2;280000;50%;140000
199661;mic 2006020;grendel jendela K;grendel jendela;grendel kodok khusus jendela;14/08/2023;148500;4;594000;40%;356400
199661;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;14/08/2023;139000;3;417000;40%;250200
199662;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;14/08/2023;536500;1;536500;PROMO;175000
199662;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);14/08/2023;483000;1;483000;PROMO;145000
199663;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);15/08/2023;283000;1;283000;50%;141500
199664;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;15/08/2023;40000;1;40000;40%;24000
199664;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;15/08/2023;66000;1;66000;50%;33000
199665;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;16/08/2023;66000;1;66000;50%;33000
199666;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;17/08/2023;159000;1;159000;50%;79500
199666;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;17/08/2023;56500;1;56500;40%;33900
199667;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;17/08/2023;139000;1;139000;40%;83400
199667;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;17/08/2023;94500;1;94500;50%;47250
199668;mic 0600511;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;17/08/2023;471000;2;942000;50%;471000
199669;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;17/08/2023;129000;1;129000;50%;64500
199671;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;19/08/2023;66000;4;264000;50%;132000
199671;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;19/08/2023;40000;1;40000;40%;24000
199672;mic 1500061;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;19/08/2023;345500;5;1727500;50%;863750
199673;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;20/08/2023;592000;1;592000;PROMO;190000
199674;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;20/08/2023;139000;1;139000;40%;83400
199674;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;20/08/2023;159000;1;159000;50%;79500
199675;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;20/08/2023;111000;1;111000;PROMO;175000
199676;mic 0509115;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);21/08/2023;515500;1;515500;60%;206200
199677;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;22/08/2023;201500;1;201500;PROMO;81000
199678;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;24/08/2023;40000;10;400000;40%;240000
199679;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);24/08/2023;483000;1;483000;PROMO;145000
199679;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;24/08/2023;159000;1;159000;50%;79500
199680;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;24/08/2023;129000;1;129000;50%;64500
199681;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;24/08/2023;40000;2;80000;40%;48000
199682;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;24/08/2023;40000;1;40000;40%;24000
199683;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;25/08/2023;54500;1;54500;40%;32700
199684;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;25/08/2023;536500;1;536500;PROMO;175000
199684;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;25/08/2023;66000;2;132000;50%;66000
199685;mic 1500051;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;26/08/2023;94500;2;189000;50%;94500
199685;mic 2006009;grendel jendela K;grendel jendela;grendel kodok khusus jendela;26/08/2023;90500;2;181000;40%;108600
199685;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;26/08/2023;93500;1;93500;40%;56100
199686;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;27/08/2023;40000;1;40000;40%;24000
199687;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);27/08/2023;283000;1;283000;50%;141500
199688;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);28/08/2023;283000;1;283000;50%;141500
